# This file contains the playout time for each wav file stored in the wav/
# subdirectory.
# The following shell commands were used to create this CSV file, when 
# reading the file in, please exclude the comment lines.
#
# ls -1 *.wav | while read line
# do
#         sec=`sox $line -n stat 2>&1 | grep Length | cut -d':' -f2 | tr -d ' '`
#         echo "$line, $sec"
# done
#
# vkg Sep 27, 2022
file,playout_time
mix30_original_1.wav, 8.440062
mix30_original_2.wav, 8.080063
mix31_original_1.wav, 5.560062
mix31_original_2.wav, 5.040063
mix32_original_1.wav, 7.360062
mix32_original_2.wav, 7.520062
mix33_original_1.wav, 4.200062
mix33_original_2.wav, 4.160063
mix34_original_1.wav, 9.240063
mix34_original_2.wav, 9.720062
mix35_original_1.wav, 4.320062
mix35_original_2.wav, 4.560062
mix36_original_1.wav, 9.760063
mix36_original_2.wav, 9.760063
mix37_original_1.wav, 10.880062
mix37_original_2.wav, 10.160063
mix38_original_1.wav, 4.200062
mix38_original_2.wav, 4.960063
mix39_original_1.wav, 6.840063
mix39_original_2.wav, 6.000063
mix3_original_1.wav, 8.720062
mix3_original_2.wav, 8.000063
mix40_original_1.wav, 6.120063
mix40_original_2.wav, 6.800063
mix41_original_1.wav, 8.040062
mix41_original_2.wav, 8.520062
mix42_original_1.wav, 5.440062
mix42_original_2.wav, 5.200062
mix43_original_1.wav, 7.560062
mix43_original_2.wav, 7.840063
mix44_original_1.wav, 6.840063
mix44_original_2.wav, 6.920063
mix45_original_1.wav, 7.440062
mix45_original_2.wav, 7.320062
mix46_original_1.wav, 8.280062
mix46_original_2.wav, 8.640063
mix47_original_1.wav, 5.560062
mix47_original_2.wav, 5.520062
mix48_original_1.wav, 8.720062
mix48_original_2.wav, 8.400063
mix49_original_1.wav, 5.800063
mix49_original_2.wav, 5.600062
mix4_original_1.wav, 9.240063
mix4_original_2.wav, 9.960062
mix50_original_1.wav, 6.360062
mix50_original_2.wav, 6.360062
mix51_original_1.wav, 8.040062
mix51_original_2.wav, 8.120062
mix52_original_1.wav, 5.160063
mix52_original_2.wav, 5.360062
mix53_original_1.wav, 5.600062
mix53_original_2.wav, 5.200062
mix54_original_1.wav, 6.560062
mix54_original_2.wav, 6.120063
mix55_original_1.wav, 5.720063
mix55_original_2.wav, 5.440062
mix56_original_1.wav, 6.960063
mix56_original_2.wav, 6.080063
mix57_original_1.wav, 9.480063
mix57_original_2.wav, 9.840063
mix58_original_1.wav, 10.200062
mix58_original_2.wav, 10.360062
mix59_original_1.wav, 5.360062
mix59_original_2.wav, 5.000063
mix5_original_1.wav, 7.880063
mix5_original_2.wav, 7.040063
mix60_original_1.wav, 5.360062
mix60_original_2.wav, 5.720063
mix61_original_1.wav, 5.680063
mix61_original_2.wav, 5.600062
mix62_original_1.wav, 9.120062
mix62_original_2.wav, 9.960062
mix63_original_1.wav, 5.280062
mix63_original_2.wav, 5.840063
mix64_original_1.wav, 10.680063
mix64_original_2.wav, 10.960062
mix65_original_1.wav, 10.760063
mix65_original_2.wav, 10.080063
mix66_original_1.wav, 9.200062
mix66_original_2.wav, 9.640063
mix67_original_1.wav, 9.880062
mix67_original_2.wav, 9.360062
mix68_original_1.wav, 4.280062
mix68_original_2.wav, 4.240062
mix69_original_1.wav, 10.320063
mix69_original_2.wav, 10.720062
mix6_original_1.wav, 6.320062
mix6_original_2.wav, 6.640062
mix70_original_1.wav, 10.480063
mix70_original_2.wav, 10.440062
mix71_original_1.wav, 6.560062
mix71_original_2.wav, 6.880063
mix72_original_1.wav, 10.080063
mix72_original_2.wav, 10.480063
mix73_original_1.wav, 10.400063
mix73_original_2.wav, 10.280062
mix74_original_1.wav, 4.320062
mix74_original_2.wav, 4.880063
mix75_original_1.wav, 8.760063
mix75_original_2.wav, 8.200062
mix76_original_1.wav, 6.120063
mix76_original_2.wav, 6.600062
mix77_original_1.wav, 7.520062
mix77_original_2.wav, 7.240062
mix78_original_1.wav, 4.040063
mix78_original_2.wav, 4.720063
mix79_original_1.wav, 6.280062
mix79_original_2.wav, 6.000063
mix7_original_1.wav, 4.560062
mix7_original_2.wav, 4.920063
mix80_original_1.wav, 7.080063
mix80_original_2.wav, 7.120063
mix81_original_1.wav, 5.400062
mix81_original_2.wav, 5.440062
mix82_original_1.wav, 10.480063
mix82_original_2.wav, 10.760063
mix83_original_1.wav, 5.480062
mix83_original_2.wav, 5.400062
mix84_original_1.wav, 6.760063
mix84_original_2.wav, 6.720063
mix85_original_1.wav, 4.720063
mix85_original_2.wav, 4.000063
mix86_original_1.wav, 9.840063
mix86_original_2.wav, 9.720062
mix87_original_1.wav, 8.480063
mix87_original_2.wav, 8.280062
mix88_original_1.wav, 5.800063
mix88_original_2.wav, 5.840063
mix89_original_1.wav, 4.040063
mix89_original_2.wav, 4.200062
mix8_original_1.wav, 6.720063
mix8_original_2.wav, 6.000063
mix90_original_1.wav, 7.160063
mix90_original_2.wav, 7.400062
mix91_original_1.wav, 6.000063
mix91_original_2.wav, 6.360062
mix92_original_1.wav, 7.520062
mix92_original_2.wav, 7.560062
mix93_original_1.wav, 8.400063
mix93_original_2.wav, 8.840063
mix94_original_1.wav, 9.040062
mix94_original_2.wav, 9.760063
mix95_original_1.wav, 6.120063
mix95_original_2.wav, 6.640062
mix96_original_1.wav, 4.200062
mix96_original_2.wav, 4.960063
mix97_original_1.wav, 5.720063
mix97_original_2.wav, 5.720063
mix98_original_1.wav, 10.960062
mix98_original_2.wav, 10.600062
mix99_original_1.wav, 6.320062
mix99_original_2.wav, 6.520062
mix9_original_1.wav, 6.720063
mix9_original_2.wav, 6.520062
